location_id,actual_consumption_ml,predicted_consumption_ml,mae_ml,mean_error_ml,mean_error_pct
159_kengeri,289.48,318.2233484680133,28.743348468013263,28.743348468013263,9.929303740504787
25_horamavu,165.27,136.73983905329234,28.530160946707667,-28.530160946707667,-17.262758484121537
196_anjanapura,398.77,371.0980009620012,27.671999037998773,-27.671999037998773,-6.939338224540155
27_banasawadi,260.34,285.844231057461,25.504231057461027,25.504231057461027,9.796508818261133
175_bommanahalli,262.12,285.36871941678686,23.24871941678685,23.24871941678685,8.869494665339102
85_doddanekkundi,313.53,335.0780218675769,21.54802186757695,21.54802186757695,6.872714530531991
86_marathalli,156.37,177.27369643208155,20.903696432081546,20.903696432081546,13.368099016487523
94_gandhinagar,350.94,369.96918467735975,19.02918467735975,19.02918467735975,5.422347032928635
50_benniganahalli,361.26,379.5679996296296,18.30799962962965,18.30799962962965,5.067818089362135
85_varthur,102.27,84.16182355779496,18.10817644220504,-18.10817644220504,-17.706244687792154
2_chowdeshwari_ward,56.01,74.02534286897799,18.01534286897799,18.01534286897799,32.16451146041419
12_shettyhalli,180.95,163.28065174767826,17.669348252321726,-17.669348252321726,-9.764768307445
4_yelahanka_satellite_town,368.22,385.3370556007882,17.11705560078815,17.11705560078815,4.648594753350754
114_agaram,136.18,152.7622973310252,16.582297331025188,16.582297331025188,12.176749398608596
112_dommalur,184.44,201.00330060485808,16.563300604858085,16.563300604858085,8.980319130805729
153_jayangar,137.48,153.96301844401435,16.483018444014363,16.483018444014363,11.98939368927434
91_bharathinagar,112.97,96.73182869470844,16.238171305291573,-16.238171305291573,-14.373879176145502
160_rajarajeshwarinagar,422.05,437.9333645719095,15.883364571909452,15.883364571909452,3.763384568631549
14_bagalagunte,208.85,224.174887409165,15.324887409165,15.324887409165,7.337748340514724
189_hongasandra,328.64,343.6314676706626,14.991467670662589,14.991467670662589,4.56166859501661
90_ulsoor,305.96,320.8754110509862,14.915411050986222,14.915411050986222,4.874954585889078
72_herohalli,246.36,231.5030291441892,14.8569708558108,-14.8569708558108,-6.030593787875791
129_jnanabharathi_ward,324.23,339.0375405638805,14.80754056388048,14.80754056388048,4.566986572457971
93_vasanthnagar,259.19,273.89895747141753,14.708957471417534,14.708957471417534,5.674971052670834
117_shanthinagar,227.44,241.8910154136603,14.451015413660317,14.451015413660317,6.353770406990993
185_yelachenahalli,180.07,194.0233636432002,13.95336364320022,13.95336364320022,7.748855246959637
192_begur,326.2,338.0893857935582,11.889385793558231,11.889385793558231,3.644814774236123
197_vasanthapura,127.33,139.02434297405853,11.694342974058529,11.694342974058529,9.184279411025312
184_uttarahalli,296.9,308.58467678932163,11.684676789321657,11.684676789321657,3.935559713479844
145_hombegowdanagar,188.67,200.07751060146285,11.40751060146286,11.40751060146286,6.0462768863427465
32_kavalbyrasandra,103.15,114.44034698440832,11.290346984408316,11.290346984408316,10.94556178808368
131_nayandanahalli,126.93,115.76873530411886,11.161264695881144,-11.161264695881144,-8.793244068290509
71_hegganahalli,219.79,230.61443455849707,10.824434558497074,10.824434558497074,4.924898566129976
183_chikkallasandra,120.54,131.23865692956358,10.698656929563567,10.698656929563567,8.87560720886309
149_varthur,145.63,156.0450769724354,10.4150769724354,10.4150769724354,7.15173863382229
44_marappanahalli,110.91,121.22294098225612,10.312940982256135,10.312940982256135,9.298477127631536
